"hoboID","site","year","rep","unit","folder","integral_mol","integral_lux","integral_mol_3p","integral_lux_3p","integral_mol_5p","integral_lux_5p"
"CB03","CB","17","a","H03","CB17a",28894.44145,1561861.7,28894.44145,1561861.7,28914.83252,1562963.92
"CB53","CB","17","a","H53","CB17a",46856.65385,2532792.1,46695.2234666667,2524066.13333333,46476.86809,2512263.14
"CB24","CB","17","a","H24","CB17a",33793.71875,1826687.5,33846.8205333333,1829557.86666667,33895.67447,1832198.62
"CB13","CB","17","a","H13","CB17a",47228.243,2552878,47083.00875,2545027.5,46986.41581,2539806.26
"CB41","CB","17","a","H41","CB17a",36186.0962,1956005.2,36164.8557333333,1954857.06666667,36160.60764,1954627.44
"CB06","CB","17","a","H06","CB17a",2506.08585,135464.1,2641.4966,142783.6,2747.59484,148518.64
"CB29","CB","17","a","H29","CB17a",54465.72975,2944093.5,54351.0291333333,2937893.46666667,54232.50506,2931486.76
"CB23","CB","17","a","H23","CB17a",32353.17555,1748820.3,32285.2047,1745146.2,32225.09339,1741896.94
"CB11","CB","17","a","H11","CB17a",19671.38115,1063317.9,19700.05615,1064867.9,19721.40293,1066021.78
"HS14","HS","17","a","H14","HS17a",59106.12915,3194925.9,59174.1006166667,3198600.03333334,59417.09602,3211734.92
"HS13","HS","17","a","H13","HS17a",65082.3229,3517963.4,64827.4323666667,3504185.53333334,64598.03138,3491785.48
"HS23","HS","17","a","H23","HS17a",68880.5875,3723275,68498.2517,3702608.2,68370.8063099999,3695719.26
"HS17","HS","17","a","H17","HS17a",65715.1746,3552171.6,65681.1888666666,3550334.53333334,65628.5117199999,3547487.12
"HS07","HS","17","a","H07","HS17a",52279.853,2825938,52458.27625,2835582.5,52718.26452,2849635.92
"HS31","HS","17","a","H31","HS17a",29800.68985,1610848.1,30166.0334,1630596.4,30500.3650299999,1648668.38
"HS12","HS","17","a","H12","HS17a",18898.54365,1021542.9,18919.7841166667,1022691.03333333,18907.46398,1022025.08
"HS06","HS","17","a","H06","HS17a",78926.65915,4266305.9,78748.2359,4256661.4,78485.6987,4242470.2
"HS53","HS","17","a","H53","HS17a",86439.95315,4672429.9,85207.9826499999,4605836.9,84151.0365799999,4548704.68
"HS26","HS","17","a","H26","HS17a",28643.33725,1548288.5,28871.6765833333,1560631.16666667,29039.05484,1569678.64
"HS43","HS","17","a","H43","HS17a",73963.074,3998004,73827.1323,3990655.8,73524.66211,3974306.06
"HS21","HS","17","a","H21","HS17a",62714.8187,3389990.2,62629.8549833333,3385397.56666667,62577.1775899999,3382550.14
"HS46","HS","17","a","H46","HS17a",73072.55615,3949867.9,72970.6001833333,3944356.76666667,72878.8393199999,3939396.72
"HS51","HS","17","a","H51","HS17a",27812.34315,1503369.9,28177.6860833333,1523118.16666667,28684.0686999999,1550490.2
"HS27","HS","17","a","H27","HS17a",62829.12835,3396169.1,62660.2634333333,3387041.26666667,62601.63866,3383872.36
"HS36","HS","17","a","H36","HS17a",49816.16545,2692765.7,49962.728,2700688,50059.5862299999,2705923.58
"HS33","HS","17","a","H33","HS17a",56661.57245,3062787.7,56457.6592833333,3051765.36666667,56316.1948399999,3044118.64
"HS48","HS","17","a","H48","HS17a",66360.9615,3587079,66411.9401,3589834.6,66493.5051199999,3594243.52
"HS05","HS","17","a","H05","HS17a",42177.6098,2279870.8,42024.6752333334,2271604.06666667,41894.68116,2264577.36
"HS34","HS","17","a","H34","HS17a",59848.90785,3235076.1,59865.9007166667,3235994.63333334,59828.5167799999,3233973.88
"HS01","HS","17","a","H01","HS17a",55092.6004,2977978.4,54446.8770166667,2943074.43333333,53874.22333,2912120.18
"HS44","HS","17","a","H44","HS17a",44093.68255,2383442.3,44263.60875,2392627.5,44577.9737,2409620.2
"HS35","HS","17","a","H35","HS17a",61921.29265,3347096.9,61887.3069166667,3345259.83333334,61926.3901399999,3347372.44
"HS11","HS","17","a","H11","HS17a",52978.2058,2863686.8,53237.34455,2877694.3,53275.15337,2879738.02
"HS04","HS","17","a","H04","HS17a",46787.1475,2529035,46808.3885833333,2530183.16666667,46811.36215,2530343.9
"HS25","HS","17","a","H25","HS17a",78901.9857,4264972.2,78766.044,4257624,78784.73566,4258634.36
"HS32","HS","17","a","H32","HS17a",16945.0454,915948.4,16953.5418333333,916407.66666667,16892.7928899999,913123.94
"HS28","HS","17","a","H28","HS17a",84198.71515,4551281.9,84122.2478666666,4547148.53333334,84086.5629699999,4545219.62
"HS16","HS","17","a","H16","HS17a",59708.52245,3227487.7,59691.5295833333,3226569.16666667,59739.1088699999,3229141.02
"HS10","HS","17","a","H10","HS17a",71447.629,3862034,71080.1622666667,3842170.93333333,70965.8864099999,3835993.86
"HS37","HS","17","a","H37","HS17a",66856.99645,3613891.7,66565.9963833333,3598161.96666667,66412.21242,3589849.32
"HS03","HS","17","a","H03","HS17a",23431.0159,1266541.4,23622.1838,1276874.8,23832.46849,1288241.54
"HS19","HS","17","a","H19","HS17a",69787.83305,3772315.3,69346.02345,3748433.7,69063.9443299999,3733186.18
"HS30","HS","17","a","H30","HS17a",46237.72895,2499336.7,46212.23965,2497958.9,46129.3999799999,2493481.08
"HS42","HS","17","a","H42","HS17a",78840.44545,4261645.7,78789.4674666666,4258890.13333333,78865.93512,4263023.52
"HS47","HS","17","a","H47","HS17a",65039.91165,3515670.9,65065.40095,3517048.7,65060.3034599999,3516773.16
"HS15","HS","17","a","H15","HS17a",48554.8669,2624587.4,48580.3555833333,2625965.16666667,48498.79081,2621556.26
"HS20","HS","17","a","H20","HS17a",52962.2773,2862825.8,53276.64225,2879818.5,53380.2977499999,2885421.5
"HS24","HS","17","a","H24","HS17a",67322.1808,3639036.8,67594.0642,3653733.2,67561.7779999999,3651988
"HS49","HS","17","a","H49","HS17a",45058.2818,2435582.8,45066.7782333333,2436042.06666667,45104.1621699999,2438062.82
"HS08","HS","17","a","H08","HS17a",40047.48465,2164728.9,39856.31675,2154395.5,39751.81136,2148746.56
"HS22","HS","17","a","H22","HS17a",31634.7151,1709984.6,31881.1092,1723303.2,32042.5402,1732029.2
"HS09","HS","17","a","H09","HS17a",53760.80945,2905989.7,54175.0065666666,2928378.73333333,54413.3296099999,2941261.06
"HS02","HS","17","a","H02","HS17a",67054.9298,3624590.8,67003.9518166667,3621835.23333333,67014.14729,3622386.34
"HS40","HS","17","a","H40","HS17a",70010.0754,3784328.4,69827.4039333333,3774454.26666667,69648.1306699999,3764763.82
"HS50","HS","17","a","H50","HS17a",72511.37715,3919533.9,72341.4497166666,3910348.63333334,72052.5738199999,3894733.72
"HS39","HS","17","a","H39","HS17a",15247.03215,824163.9,15642.1126,845519.600000003,15856.22087,857093.020000001
"HS18","HS","17","a","H18","HS17a",21907.05435,1184165.1,22153.44845,1197483.7,22319.9769399999,1206485.24
"HS29","HS","17","a","H29","HS17a",67830.3721,3666506.6,67668.9417166667,3657780.63333334,67565.2867099999,3652177.66
"N343","N3","17","a","H43","N317a",69225.29615,3741907.9,69356.9890166665,3749026.43333334,69276.2732700001,3744663.42
"N340","N3","17","a","H40","N317a",42743.15665,2310440.9,42374.6273999999,2290520.4,42073.1129200001,2274222.32
"N349","N3","17","a","H49","N317a",68685.8491,3712748.6,68736.8264666666,3715504.13333333,68754.6683600001,3716468.56
