rec,year,lon,lat,Dclip,Rclip,Dplane,Rplane,H,L,unit,dpHB,new_unit
CB,17,-687.0988373,2646.296023,2.479054946,1.704943939,2.279891316,1.167818276,0.066581256,0.25,47,-3.900672363,H47
CB,17,-687.0988373,2646.296023,2.620036271,1.593746009,2.304329927,1.054253671,0.066581256,0.5,47,-3.900672363,H47
CB,17,-687.0988373,2646.296023,2.526014897,1.852291551,2.23399267,1.101923829,0.185519574,0.75,47,-3.900672363,H47
CB,17,-686.8206397,2646.93124,2.488164399,1.366162181,2.349886008,1.128843619,0.043211689,0.25,34,-4.031446348,H34
CB,17,-686.8206397,2646.93124,2.335830545,1.370542643,2.256283979,1.205507034,0.163967427,0.5,34,-4.031446348,H34
CB,17,-686.8206397,2646.93124,2.461508995,1.587782163,2.381346854,1.334486265,0.191902228,0.75,34,-4.031446348,H34
CB,17,-687.3306686,2647.41345,2.307442517,1.320214932,2.235494991,1.186753839,0.084848347,0.25,25,-3.788250003,H25
CB,17,-687.3306686,2647.41345,2.384948744,2.333125188,2.239441723,1.524677976,0.300648866,0.5,25,-3.788250003,H25
CB,17,-687.3306686,2647.41345,2.361338518,2.249653073,2.198047323,1.429735209,0.475605749,0.75,25,-3.788250003,H25
CB,17,-688.7819324,2646.755049,2.181767156,3.173290903,2.150338399,2.82548433,0.499975899,0.25,20,-3.955768947,H20
CB,17,-688.7819324,2646.755049,2.221726071,2.575846703,2.182796999,2.253066449,0.667504568,0.5,20,-3.955768947,H20
CB,17,-688.7819324,2646.755049,2.305002195,2.493450739,2.274962307,2.250285361,0.681412612,0.75,20,-3.955768947,H20
CB,17,-689.9967284,2645.688625,2.199093003,1.145542432,2.197757018,1.144035239,0.086321818,0.25,24,-4.249082168,H24
CB,17,-689.9967284,2645.688625,2.176139904,1.356565694,2.175682205,1.355388366,0.311568962,0.5,24,-4.249082168,H24
CB,17,-689.9967284,2645.688625,2.251133906,1.424705536,2.250922044,1.424069084,0.378753534,0.75,24,-4.249082168,H24
CB,17,-689.6582547,2647.914205,2.363618767,1.393498714,2.267142203,1.192539979,0.07562795,0.25,33,-3.886226916,H33
CB,17,-689.6582547,2647.914205,2.446338529,1.398387377,2.310898465,1.144429175,0.108001488,0.5,33,-3.886226916,H33
CB,17,-689.6582547,2647.914205,2.361184444,2.820273979,2.221771576,1.783488155,0.622770149,0.75,33,-3.886226916,H33
CB,17,-686.9180089,2648.479873,2.221492467,1.351609571,2.062948923,1.10506177,0.127971335,0.25,17,-3.92586193,H17
CB,17,-686.9180089,2648.479873,2.247148663,1.785813962,2.147645691,1.398864655,0.374305287,0.5,17,-3.92586193,H17
CB,17,-686.9180089,2648.479873,2.335300483,1.796636828,2.265875562,1.500190605,0.392564903,0.75,17,-3.92586193,H17
CB,17,-686.03705,2649.045542,2.516870681,1.062171182,2.310473309,1.011450459,0.014751985,0.25,51,-2.356795292,H51
CB,17,-686.03705,2649.045542,2.647257628,1.046332134,2.340585409,1.003691621,0.014751985,0.5,51,-2.356795292,H51
CB,17,-686.03705,2649.045542,2.744751378,1.046332134,2.340142918,1.001636371,0.014751985,0.75,51,-2.356795292,H51
CB,17,-690.7154054,2648.4706,2.382782475,1.211951778,2.325363378,1.136133757,0.04927054,0.25,28,-4.089177067,H28
CB,17,-690.7154054,2648.4706,2.388804052,1.263282848,2.333464966,1.173055676,0.10834668,0.5,28,-4.089177067,H28
CB,17,-690.7154054,2648.4706,2.376181289,1.342862775,2.306948978,1.204832798,0.198865178,0.75,28,-4.089177067,H28
CB,17,-691.9533844,2648.999176,2.558259456,1.248480495,2.318164544,1.037224872,0.025925591,0.25,35,-4.060897287,H35
CB,17,-691.9533844,2648.999176,2.381113193,1.904672947,2.207500895,1.272818589,0.234920224,0.5,35,-4.060897287,H35
CB,17,-691.9533844,2648.999176,2.397890507,2.060053806,2.272435129,1.463737803,0.365126102,0.75,35,-4.060897287,H35
CB,17,-688.2950867,2649.472111,2.445149784,1.329943422,2.325971224,1.133701226,0.048677336,0.25,30,-3.625567095,H30
CB,17,-688.2950867,2649.472111,2.615537487,1.338997717,2.420750903,1.075586877,0.048677336,0.5,30,-3.625567095,H30
CB,17,-688.2950867,2649.472111,2.50950232,1.884641553,2.249208492,1.137017521,0.203588372,0.75,30,-3.625567095,H30
CB,17,-689.4727897,2649.532388,2.211738115,1.798950622,2.114044013,1.411460997,0.219167146,0.25,46,-3.830684041,H46
CB,17,-689.4727897,2649.532388,2.382154334,1.825907499,2.274799321,1.398434188,0.220439883,0.5,46,-3.830684041,H46
CB,17,-689.4727897,2649.532388,2.456935435,1.712355104,2.303872585,1.241333943,0.220439883,0.75,46,-3.830684041,H46
CB,17,-689.8854494,2650.928012,2.337435657,1.937603275,2.301079182,1.742280038,0.144208749,0.25,48,-4.092216143,H48
CB,17,-689.8854494,2650.928012,2.493300877,1.875537127,2.41913035,1.535744186,0.144208749,0.5,48,-4.092216143,H48
CB,17,-689.8854494,2650.928012,2.546720831,1.764894478,2.456616107,1.414042139,0.158759634,0.75,48,-4.092216143,H48
CB,17,-688.5964674,2650.75182,2.426519057,1.305454257,2.271473173,1.092666166,0.050342662,0.25,44,-4.078759172,H44
CB,17,-688.5964674,2650.75182,2.375813452,1.6658977,2.2515509,1.277299892,0.197389373,0.5,44,-4.078759172,H44
CB,17,-688.5964674,2650.75182,2.427456886,1.745204672,2.322610926,1.362087094,0.256411408,0.75,44,-4.078759172,H44
CB,17,-690.3908416,2650.260338,2.323192927,1.33144621,2.246673202,1.186972742,0.081045637,0.25,50,-4.081013832,H50
CB,17,-690.3908416,2650.260338,2.498193524,1.409346269,2.317216504,1.104035796,0.088440841,0.5,50,-4.081013832,H50
CB,17,-690.3908416,2650.260338,2.589885777,1.392765104,2.377880329,1.077560275,0.088440841,0.75,50,-4.081013832,H50
CB,17,-686.7789101,2650.135149,2.244261252,9.393784728,2.23313562,8.973960842,1.195751673,0.25,39,-3.97150545,H39
CB,17,-686.7789101,2650.135149,2.331439034,6.804064148,2.304202868,6.092061962,1.199148515,0.5,39,-3.97150545,H39
CB,17,-686.7789101,2650.135149,2.322328789,5.082098236,2.303735026,4.719120607,1.383123301,0.75,39,-3.97150545,H39
CB,17,-686.5841718,2650.928012,2.421096753,1.553400905,2.33962665,1.310557963,0.072938684,0.25,36,-2.895478831,H36
CB,17,-686.5841718,2650.928012,2.478387637,1.717013267,2.322458063,1.237954512,0.134970951,0.5,36,-2.895478831,H36
CB,17,-686.5841718,2650.928012,2.558132645,1.93614284,2.358721386,1.234231785,0.172602827,0.75,36,-2.895478831,H36
CB,17,-687.7062353,2651.159843,2.300349685,1.436515316,2.204770612,1.216671268,0.10455715,0.25,49,-4.087711791,H49
CB,17,-687.7062353,2651.159843,2.390365109,1.386758731,2.309019421,1.212123762,0.13397991,0.5,49,-4.087711791,H49
CB,17,-687.7062353,2651.159843,2.323105986,1.497351855,2.25473558,1.305120463,0.308361705,0.75,49,-4.087711791,H49
CB,17,-688.2069908,2652.62038,2.542276063,1.182526199,2.323139293,1.031683111,0.023396408,0.25,40,-3.998260282,H40
CB,17,-688.2069908,2652.62038,2.708942718,1.182526183,2.322691945,1.007984495,0.023396408,0.5,40,-3.998260282,H40
CB,17,-688.2069908,2652.62038,2.806436469,1.182526183,2.322106389,1.003539258,0.023396408,0.75,40,-3.998260282,H40
CB,17,-689.5330658,2652.564741,2.295412576,1.864482313,2.25491562,1.663767962,0.162850035,0.25,43,-4.184396041,H43
CB,17,-689.5330658,2652.564741,2.377110964,1.57038971,2.349654288,1.471997075,0.178418572,0.5,43,-4.184396041,H43
