"","integral_props","prop_integrals","integral_props1","prop_integrals1","integral_props2","prop_integrals2","H","site","year.x","integral_pard","integral_mol_5p","folder","Dclip","Dplane","Rclip","dpHB","Rclip.1","Rplane","lon","lat","hoboID","mergekey","L","year","Rcl","Rpl","Hl","dim","rec"
"15841",60.6482599215478,0.41863033638809,3286.66028262272,17.8981719779841,41.0240319791303,0.285560251763464,0.282908094,"CB",18,82732.3091031138,34634.26,"CB18a",2.279288073,2.184314801,2.745061747,-3.958541644,2.745061747,1.991517855,-683.2533336,2647.493556,"H17","CB18H17",0.25,"18",0.438552117849779,0.299184204440156,-0.548354627201011,0.25,"CB"
"16129",76.1321120189425,0.520044576008891,4411.57735439207,23.6768863819183,51.1542273611949,0.352514533439459,0.083944959,"CB",18,82156.3509764778,42724.97,"CB18a",2.385305504,2.289688594,1.54588651,-4.045867308,1.54588651,1.275692599,-685.2453983,2646.6428,"H18","CB18H18",0.25,"18",0.18917760737666,0.105746035951243,-1.07600537867086,0.25,"CB"
"16417",37.7259232750449,0.221822232450821,2510.97093682438,9.88118444800822,24.9655779633129,0.150691770635274,0.191210649,"CB",18,82355.8557596346,18268.36,"CB18a",2.271866037,2.200786614,1.951070208,-4.015549667,1.951070208,1.598097755,-685.7348714,2646.232052,"H19","CB18H19",0.25,"18",0.290272897481848,0.203603341410132,-0.718487924438831,0.25,"CB"
"16705",53.6009923491492,0.378769594980898,3318.44767108462,18.4550279861349,35.7885540588651,0.255015164901192,0.110478614,"CB",18,81539.5479448596,30884.7,"CB18a",2.267845544,2.194839057,1.380634546,-4.140067278,1.380634546,1.222175828,-684.7702993,2652.205256,"H20","CB18H20",0.25,"18",0.140078736030027,0.0871336900612521,-0.956721782799516,0.25,"CB"
"16993",37.5289024428625,0.264035088739638,2103.55602694223,10.9447693951879,25.2909611783477,0.180664160161289,0.070360797,"CB",18,83017.1275894869,21919.43,"CB18a",2.315874991,2.207896089,1.244199207,-3.915582408,1.244199207,1.105995993,-684.3918422,2653.623102,"H27","CB18H27",0.25,"18",0.0948899202057877,0.0437535535318428,-1.15266924978959,0.25,"CB"
"17281",57.2038478270241,0.415235651551051,3427.73064193505,21.0314112467112,38.2916178776972,0.278485196206624,0.086910769,"CB",18,81189.1200913783,33712.62,"CB18a",2.34323335,2.337544034,1.431723247,-4.193903581,1.431723247,1.414675965,-689.0219789,2651.936186,"H29","CB18H29",0.25,"18",0.155859076689277,0.150656975034796,-1.06092640735446,0.25,"CB"
"17569",38.2281112692458,0.204863928805634,2312.86129496499,8.12266250191292,25.494968597384,0.140801429358965,0.198945814,"CB",18,83428.3178090158,17091.45,"CB18a",2.323496931,2.257682401,2.380792537,-3.853821773,2.380792537,1.923598873,-686.8006267,2645.802287,"H31","CB18H31",0.25,"18",0.376721552497842,0.284114513956966,-0.701265194370455,0.25,"CB"
"17857",53.9744878864267,0.387277447571454,3060.86569088311,17.0681151348839,36.3729845820065,0.263372683776028,0.562411969,"CB",18,82453.6915078391,31932.46,"CB18a",2.154688214,2.091344116,3.187783637,-4.000708937,3.187783637,2.53172314,-688.5906893,2646.822493,"H33","CB18H33",0.25,"18",0.503488837051005,0.403416211082894,-0.249945445428947,0.25,"CB"
"18145",51.0980901132953,0.318354032825794,1623.16925101179,7.07737463058249,36.443024484546,0.231835015277583,0.096985518,"CB",18,88967.7271828333,28323.24,"CB18a",2.377473217,2.274073736,1.654718266,-3.050248095,1.654718266,1.317367106,-685.9285044,2650.344011,"H35","CB18H35",0.25,"18",0.218724060989586,0.119706815124138,-1.01329311029291,0.25,"CB"
"18433",50.7481371920092,0.328617036527704,3293.9593858686,15.7659381378048,33.7188964910884,0.221590918715352,0.075445198,"CB",18,81679.644499311,26841.32,"CB18a",2.3385909,2.257909446,1.327080062,-4.118608927,1.327080062,1.178583273,-688.1919196,2651.150797,"H36","CB18H36",0.25,"18",0.122897124398684,0.0713602730943173,-1.12236839735254,0.25,"CB"
